Player Name,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Pitch Type,Ball Action
Pathum Nissanka,56,100,68,6,1,82.35,2,caught,1,v Australia,Pallekele,green,Off-cutter
Pathum Nissanka,14,24,17,3,0,82.35,2,caught,1,v Australia,Pallekele,green,Outswing
Pathum Nissanka,137,203,147,11,2,93.19,2,caught,2,v Australia,Colombo (RPS),grass ,Slower ball
Pathum Nissanka,13,42,25,2,0,52,2,caught,1,v Australia,Colombo (RPS),grass ,Short ball
Pathum Nissanka,2,10,4,0,0,50,2,caught,1,v Australia,Colombo (RPS),grass ,Arm ball
Pathum Nissanka,61,103,67,8,0,91.04,1,caught,1,v Australia,Lucknow,Low-bounce,Seam-up delivery
Pathum Nissanka,4,4,5,1,0,80,1,caught,1,v Australia,Colombo (RPS),grass ,Yorker
Pathum Nissanka,6,21,20,1,0,30,1,bowled,1,v Australia,Colombo (RPS),grass ,Inswinging delivery
Pathum Nissanka,8,13,13,1,0,61.53,3,caught,2,v Bangladesh,Mirpur,grass ,
Pathum Nissanka,20,60,36,2,0,55.55,3,caught,2,v Bangladesh,Mirpur,grass ,
Pathum Nissanka,0,5,4,0,0,0,3,caught,1,v Bangladesh,Mirpur,grass ,
Pathum Nissanka,14,18,13,1,0,107.69,1,caught,2,v Bangladesh,Pallekele,green,
Pathum Nissanka,40,92,60,5,0,66.66,1,lbw,1,v Bangladesh,Colombo (RPS),grass ,
Pathum Nissanka,41,61,36,8,0,113.88,1,bowled,1,v Bangladesh,Delhi,grass ,
Pathum Nissanka,36,51,28,5,1,128.57,1,caught,1,v Bangladesh,Chattogram,grass ,
Pathum Nissanka,114,169,113,13,3,100.88,1,caught,2,v Bangladesh,Chattogram,grass ,
Pathum Nissanka,1,9,8,0,0,12.5,1,lbw,1,v Bangladesh,Chattogram,grass ,
Pathum Nissanka,5,20,19,0,0,26.31,1,caught,1,v England,Chester-le-Street,grass ,
Pathum Nissanka,5,20,12,1,0,41.66,1,bowled,1,v England,The Oval,grass ,
